experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed;net_energy
81;python;64,74;0,07;76,32;110,29;251.42;5.688696859;0.964660676;764;247.31291888715919
82;python;65,58;0,11;77,46;112,42;255.57;5.785447249;0.965372914;380;251.39306779309
83;python;64,22;0,06;75,77;110,11;250.16;5.662930278;0.964555159;929;246.07152164290284
84;python;65,77;0,08;77,6;112,14;255.59;5.760229982;0.964572745;706;251.43127395938438
85;python;61,78;0,09;73,04;105,96;240.87;5.491900925;0.964379298;451;236.90500008495349
86;python;60,78;0,12;71,96;104,55;237.41;5.414483078;0.964748606;590;233.50089361999173
87;python;58,95;0,1;69,91;101,9;230.86;5.323661247;0.965258604;713;227.01646445914508
88;python;66,28;0,12;78,24;113,34;257.98;5.83653626;0.964493607;526;253.76618294628724
89;python;59,93;0,1;70,98;103,22;234.23;5.364995498;0.965548775;534;230.35662227809672
90;python;63,38;0,08;74,86;108,7;247.02;5.628218433;0.964212229;372;242.95658263077493
